iter	RMSE
0	14.18322886
1	13.40983181
2	12.53655318
3	11.8043777
4	11.13206045
5	10.58953342
6	10.03363604
7	9.585040318
8	9.154118383
9	8.72065398
10	8.364327319
11	8.064040925
12	7.738125243
13	7.485760195
14	7.246281997
15	7.043209147
16	6.873591649
17	6.705476557
18	6.564265806
19	6.42450144
20	6.326734572
21	6.198080803
22	6.115325772
23	6.014543268
24	5.932943428
25	5.864159976
26	5.801794454
27	5.734269013
28	5.68647158
29	5.634677854
30	5.58945979
31	5.55062108
32	5.507352015
33	5.467762134
34	5.445803357
35	5.406689908
36	5.381308576
37	5.366216919
38	5.335013454
39	5.305984437
40	5.294715162
41	5.265869124
42	5.248798231
43	5.232425013
44	5.220391982
45	5.213341548
46	5.193597507
47	5.176872828
48	5.155522471
49	5.144574316
50	5.130977539
51	5.122724569
52	5.102649303
53	5.091527984
54	5.078964536
55	5.067204476
56	5.059580901
57	5.045297092
58	5.035039474
59	5.02986315
60	5.010259642
61	4.997661336
62	4.983739334
63	4.976298221
64	4.968414903
65	4.967133044
66	4.956919869
67	4.948185496
68	4.943198222
69	4.932934197
70	4.92251859
71	4.913444546
72	4.904215326
73	4.898728085
74	4.88685166
75	4.880770442
76	4.876395724
77	4.868319697
78	4.863156664
79	4.850217767
80	4.841083864
81	4.822050591
82	4.81825803
83	4.811554023
84	4.803756929
85	4.787575363
86	4.783581502
87	4.769335641
88	4.764818601
89	4.752755116
90	4.741356854
91	4.738090637
92	4.735444987
93	4.728736073
94	4.719669009
95	4.707233009
96	4.704971064
97	4.698325971
98	4.696547657
99	4.694816864
