iter	Passed	Remaining
0	0	94
1	1	84
2	2	81
3	3	79
4	4	78
5	5	80
6	6	82
7	7	82
8	8	82
9	9	81
10	10	82
11	10	80
12	11	78
13	12	77
14	13	75
15	14	73
16	14	72
17	15	70
18	16	69
19	17	68
20	17	66
21	18	65
22	19	64
23	20	64
24	21	64
25	22	63
26	23	62
27	24	62
28	25	62
29	26	61
30	27	60
31	27	59
32	28	58
33	29	57
34	30	55
35	30	54
36	31	53
37	32	52
38	33	51
39	33	50
40	34	49
41	35	49
42	36	48
43	37	47
44	38	46
45	39	45
46	39	45
47	40	44
48	41	43
49	42	42
50	42	41
51	43	40
52	44	39
53	44	38
54	45	37
55	46	36
56	47	35
57	47	34
58	48	33
59	49	32
60	50	32
61	51	31
62	52	30
63	53	29
64	54	29
65	54	28
66	55	27
67	56	26
68	57	25
69	58	24
70	58	24
71	59	23
72	60	22
73	61	21
74	61	20
75	62	19
76	63	18
77	64	18
78	65	17
79	66	16
80	67	15
81	68	15
82	69	14
83	69	13
84	70	12
85	71	11
86	72	10
87	73	9
88	73	9
89	74	8
90	75	7
91	76	6
92	77	5
93	77	4
94	78	4
95	79	3
96	80	2
97	81	1
98	82	0
99	83	0
